City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Owando,CG,-0.4819,15.8999,71.4,94,100,1.36,light rain
Qui Nhon,VN,13.7667,109.2333,83.14,67,94,11.52,overcast clouds
Yellowknife,CA,62.456,-114.3525,-0.4,60,20,10.36,few clouds
Paso De Carrasco,UY,-34.8603,-56.0522,69.8,94,90,6.91,overcast clouds
Gat,IL,31.61,34.7642,63.0,55,48,1.99,scattered clouds
Kedrovyy,RU,56.1667,91.8167,42.8,28,0,6.71,clear sky
Ilulissat,GL,69.2167,-51.1,19.4,86,90,8.05,overcast clouds
Kumluca,TR,36.3703,30.2869,54.25,30,0,0.69,clear sky
San Juan,AR,-31.5375,-68.5364,51.35,77,36,5.59,scattered clouds
High Level,CA,58.5169,-117.136,14.0,57,1,5.75,clear sky
Kenai,US,60.5544,-151.2583,21.2,53,20,9.22,few clouds
Srednekolymsk,RU,67.45,153.6833,1.85,80,100,9.64,overcast clouds
Zhangjiakou,CN,40.81,114.8794,57.36,46,100,7.11,light rain
Port Alfred,ZA,-33.5906,26.891,70.38,83,89,4.9,overcast clouds
Tura,IN,25.5198,90.2201,93.69,29,0,8.46,clear sky
New Norfolk,AU,-42.7826,147.0587,50.0,74,96,5.99,overcast clouds
Dikson,RU,73.5069,80.5464,30.9,93,100,24.18,overcast clouds
Santa Rosa,PH,14.3122,121.1114,93.2,43,20,9.22,few clouds
Broome,US,42.2506,-75.833,57.0,82,1,5.75,clear sky
Port Elizabeth,ZA,-33.918,25.5701,62.6,100,90,4.61,fog
Mar Del Plata,AR,-38.0023,-57.5575,60.8,94,90,23.02,moderate rain
Santa Cruz,BO,-17.8,-63.1667,73.4,100,75,11.5,broken clouds
Sinop,TR,41.7711,34.8709,34.99,99,100,6.91,light rain
Aliwal North,ZA,-30.6937,26.7114,68.99,36,74,3.36,broken clouds
Ostrovnoy,RU,68.0531,39.5131,29.25,81,26,24.65,scattered clouds
Hofn,IS,64.2539,-15.2082,31.35,55,100,10.89,overcast clouds
Ponta Do Sol,PT,32.6667,-17.1,60.01,67,98,3.0,overcast clouds
Tiksi,RU,71.6872,128.8694,1.8,82,26,7.36,scattered clouds
Nortelandia,BR,-14.4547,-56.8028,71.51,88,2,2.64,clear sky
Naliya,IN,23.2667,68.8333,93.31,25,0,11.41,clear sky
Tjome,NO,59.1109,10.3933,30.99,80,43,3.44,scattered clouds
Hasaki,JP,35.7333,140.8333,60.8,44,40,6.91,scattered clouds
Rocha,UY,-34.4833,-54.3333,68.72,97,100,12.21,overcast clouds
Vestmannaeyjar,IS,63.4427,-20.2734,36.0,97,100,24.49,overcast clouds
Santa Cruz Del Sur,CU,20.7147,-77.9956,74.43,77,78,3.98,heavy intensity rain
Nelson Bay,AU,-32.7167,152.15,66.99,26,12,19.57,few clouds
Atuona,PF,-9.8,-139.0333,80.78,73,65,17.72,broken clouds
Marsh Harbour,BS,26.5412,-77.0636,74.75,71,0,17.13,clear sky
Oranjemund,NA,-28.55,16.4333,63.48,79,10,5.77,clear sky
Hithadhoo,MV,-0.6,73.0833,83.41,70,75,10.16,broken clouds
Aykhal,RU,66.0,111.5,17.92,50,0,4.85,clear sky
Honningsvag,NO,70.9821,25.9704,34.72,95,100,15.21,light snow
Tambacounda,SN,13.7539,-13.7586,82.4,51,0,9.22,clear sky
Dunedin,NZ,-45.8742,170.5036,60.01,80,99,15.99,moderate rain
Tangzhai,CN,34.4328,116.5911,61.0,76,98,1.99,overcast clouds
Airai,TL,-8.9266,125.4092,71.98,62,75,1.59,broken clouds
Coquimbo,CL,-29.9533,-71.3436,53.6,82,0,3.44,clear sky
Grindavik,IS,63.8424,-22.4338,35.6,100,75,10.36,light rain
Chimala,TZ,-8.85,34.0167,68.59,84,93,0.51,overcast clouds
Naze,JP,28.3667,129.4833,73.4,60,20,19.57,few clouds
Medea,DZ,36.2642,2.7539,55.4,94,40,3.44,scattered clouds
Kavieng,PG,-2.5744,150.7967,80.83,81,81,13.35,moderate rain
Christchurch,NZ,-43.5333,172.6333,75.2,35,37,5.75,scattered clouds
Nome,US,64.5011,-165.4064,12.99,79,90,19.57,light snow
Altay,CN,47.8667,88.1167,48.11,28,1,8.68,clear sky
Manaus,BR,-3.1019,-60.025,78.8,94,75,4.61,broken clouds
Nanortalik,GL,60.1432,-45.2371,34.7,81,38,10.29,scattered clouds
Ust-Kuyga,RU,70.0167,135.6,5.45,66,7,3.33,clear sky
Kawalu,ID,-7.3817,108.2082,85.95,64,99,3.06,overcast clouds
Chapais,CA,49.7834,-74.8492,46.4,49,90,9.22,overcast clouds
Okhotsk,RU,59.3833,143.3,22.48,93,100,23.51,snow
Mahebourg,MU,-20.4081,57.7,82.4,65,75,12.66,broken clouds
Kiama,AU,-34.6833,150.8667,66.0,42,44,8.99,scattered clouds
Blythe,US,33.6103,-114.5964,78.8,11,1,6.91,clear sky
Port-Gentil,GA,-0.7193,8.7815,80.71,81,100,9.55,moderate rain
Wilmington,US,34.2257,-77.9447,71.6,78,90,16.11,light rain
Ribeira Grande,PT,38.5167,-28.7,62.42,85,95,13.6,overcast clouds
Norman Wells,CA,65.282,-126.8329,-7.6,77,75,8.05,broken clouds
Cascais,PT,38.6979,-9.4215,59.0,87,1,10.11,clear sky
Bredasdorp,ZA,-34.5322,20.0403,50.0,93,100,2.3,overcast clouds
Opuwo,NA,-18.0607,13.84,64.65,46,23,8.93,few clouds
Chuy,UY,-33.6971,-53.4616,69.91,97,100,9.33,moderate rain
Pevek,RU,69.7008,170.3133,-9.78,93,52,1.61,broken clouds
Broken Hill,AU,-31.95,141.4333,66.2,32,2,17.27,clear sky
Angoche,MZ,-16.2325,39.9086,80.19,80,100,8.9,light rain
Torbay,CA,47.6666,-52.7314,36.0,100,90,11.5,moderate rain
Cape Town,ZA,-33.9258,18.4232,63.0,94,0,8.05,clear sky
Saint-Philippe,RE,-21.3585,55.7679,84.2,65,0,2.3,light rain
Kabarnet,KE,0.4919,35.743,57.2,94,0,2.3,clear sky
Meulaboh,ID,4.1363,96.1285,84.85,66,24,5.75,few clouds
Victoria,HK,22.2855,114.1577,82.4,51,20,8.05,few clouds
Hamilton,US,39.1834,-84.5333,55.0,82,1,6.91,clear sky
Carnarvon,AU,-24.8667,113.6333,77.0,100,75,37.98,light rain
Kahului,US,20.8947,-156.47,73.4,64,20,9.22,few clouds
Gondanglegi,ID,-7.7479,112.0132,88.9,62,49,3.69,scattered clouds
Avarua,CK,-21.2078,-159.775,77.0,94,97,3.44,overcast clouds
Uruzgan,AF,32.8333,66.0,68.54,24,36,0.76,scattered clouds
Bethel,US,41.3712,-73.414,55.0,87,1,3.38,clear sky
Bilibino,RU,68.0546,166.4372,0.28,82,59,7.09,broken clouds
Mount Gambier,AU,-37.8333,140.7667,59.0,51,90,20.71,overcast clouds
Kommunar,RU,59.6206,30.39,37.4,65,0,6.71,clear sky
Moyale,KE,3.5167,39.0584,73.31,70,99,11.21,light rain
Lebu,CL,-37.6167,-73.65,50.18,83,8,6.22,clear sky
Cabo San Lucas,MX,22.8909,-109.9124,64.99,93,99,1.01,overcast clouds
Ketchikan,US,55.3422,-131.6461,33.8,86,90,4.85,overcast clouds
Nouakchott,MR,18.0858,-15.9785,69.8,56,66,13.8,broken clouds
Henties Bay,NA,-22.116,14.2845,80.1,33,0,13.22,clear sky
Thompson,CA,55.7435,-97.8558,28.4,80,75,9.22,broken clouds
College,US,64.8569,-147.8028,10.4,33,75,3.44,broken clouds
Cayenne,GF,4.9333,-52.3333,73.99,100,90,6.13,mist
Port Blair,IN,11.6667,92.75,87.8,74,40,3.44,scattered clouds
Mackay,AU,-21.15,149.2,88.0,66,14,13.8,few clouds
Kathu,TH,7.9178,98.3332,91.4,58,20,6.91,few clouds
San Pedro,PH,14.35,121.0167,93.2,43,20,9.22,few clouds
Evensk,RU,61.95,159.2333,12.18,70,76,7.81,broken clouds
Namibe,AO,-15.1961,12.1522,80.8,65,43,2.59,scattered clouds
Katsuura,JP,35.1333,140.3,62.6,48,20,4.61,few clouds
Bakchar,RU,57.0186,82.0711,43.34,75,66,5.97,broken clouds
Hobyo,SO,5.3505,48.5268,85.37,51,44,15.79,scattered clouds
Arman,RU,59.7,150.1667,20.43,58,100,9.53,overcast clouds
Port Augusta,AU,-32.5,137.7667,66.99,42,90,12.66,overcast clouds
Lasa,IT,46.6166,10.7002,46.0,100,75,6.91,mist
Klaksvik,FO,62.2266,-6.589,24.8,74,100,1.14,overcast clouds
Japura,ID,-0.3167,102.35,91.13,53,66,3.42,broken clouds
Buala,SB,-8.145,159.5921,82.8,75,70,6.2,light rain
Cherskiy,RU,68.75,161.3,-1.52,87,90,4.21,overcast clouds
Alice Springs,AU,-23.7,133.8833,77.0,29,28,14.97,scattered clouds
Talnakh,RU,69.4865,88.3972,29.44,88,69,5.35,broken clouds
Sinnamary,GF,5.3833,-52.95,76.35,89,100,5.82,moderate rain
Saskylakh,RU,71.9167,114.0833,17.49,72,100,12.41,overcast clouds
Pingxiang,CN,27.6167,113.85,63.34,88,99,3.27,overcast clouds
Umm Kaddadah,SD,13.6017,26.6876,76.73,20,16,27.98,few clouds
Bengkulu,ID,-3.8004,102.2655,84.85,67,28,8.66,scattered clouds
Canar,EC,-2.55,-78.9333,53.6,87,99,2.3,overcast clouds
Kruisfontein,ZA,-34.0033,24.7314,63.46,66,81,2.42,broken clouds
Ixtapa,MX,20.7,-105.2,68.32,81,80,2.86,broken clouds
Rio Grande,BR,-32.035,-52.0986,70.99,91,100,10.02,moderate rain
Prainha,BR,-1.8,-53.48,71.82,98,90,3.2,light rain
Horta,PT,38.5333,-28.6333,61.7,86,97,12.44,overcast clouds
Mayo,US,38.8876,-76.5119,59.0,94,100,8.01,moderate rain
Mildura,AU,-34.2,142.15,66.2,27,40,11.5,scattered clouds
Luderitz,NA,-26.6481,15.1594,74.68,47,0,6.2,clear sky
Akdepe,TM,42.0551,59.3788,64.4,24,0,18.41,clear sky
Yumen,CN,40.2833,97.2,59.38,27,99,16.96,overcast clouds
Porto Novo,BJ,6.4965,2.6036,80.4,83,66,6.29,broken clouds
Gilgit,PK,35.9221,74.3087,57.38,46,94,0.81,overcast clouds
Bilecik,TR,40.0,30.1667,39.99,69,75,10.36,broken clouds
Bardiyah,LY,31.7561,25.0865,54.91,55,6,4.97,clear sky
Alampur,IN,15.8833,78.15,94.28,26,1,5.88,clear sky
Tezu,IN,27.9167,96.1667,95.13,22,33,4.5,light rain
Bontang,ID,0.1333,117.5,85.8,68,85,7.85,moderate rain
Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,100,75,20.71,broken clouds
Trelew,AR,-43.249,-65.3051,59.11,50,35,13.04,scattered clouds
Bintulu,MY,3.1667,113.0333,80.6,83,20,3.44,few clouds
Souillac,MU,-20.5167,57.5167,82.4,65,75,12.66,broken clouds
Ahipara,NZ,-35.1667,173.1667,66.13,85,0,5.03,clear sky
Nishihara,JP,26.1842,127.7558,75.2,60,20,21.85,few clouds
Acapulco,MX,16.8634,-99.8901,76.12,72,0,5.59,clear sky
Modasa,IN,23.4667,73.3,99.1,7,0,7.31,clear sky
Weligama,LK,5.9667,80.4167,87.28,58,15,4.97,few clouds
Artyom,AZ,40.4723,50.333,55.4,62,0,23.02,clear sky
Gaziantep,TR,37.0594,37.3825,41.0,100,90,5.75,mist
Freeport,US,40.6576,-73.5832,55.4,94,90,6.91,mist
Kunya,NG,12.2233,8.5325,77.94,11,6,5.48,clear sky
Socorro,US,31.6546,-106.3033,77.0,7,1,23.02,clear sky
Manokwari,ID,-0.8667,134.0833,82.62,74,90,5.32,heavy intensity rain
Nuuk,GL,64.1835,-51.7216,26.6,100,90,10.36,overcast clouds
Margate,GB,51.3813,1.3862,39.99,71,72,5.01,broken clouds
Boa Vista,BR,2.8197,-60.6733,80.6,78,75,4.61,light rain
Taree,AU,-31.9,152.4667,69.8,30,32,10.63,scattered clouds
Kuytun,RU,54.3419,101.5036,28.69,57,50,7.72,scattered clouds
Yarim,YE,14.298,44.3779,65.08,24,2,3.62,clear sky
Bealanana,MG,-14.55,48.7333,70.68,78,99,3.74,overcast clouds
Bemidji,US,47.4736,-94.8803,34.0,100,1,4.54,clear sky
Flinders,AU,-34.5833,150.8552,66.0,41,35,8.01,scattered clouds
Arklow,IE,52.7931,-6.1414,32.0,86,5,10.07,clear sky
Raudeberg,NO,61.9875,5.1352,32.0,93,67,5.82,broken clouds
Barcelona,ES,41.3888,2.159,55.99,100,75,2.3,broken clouds
Bilma,NE,18.6853,12.9164,79.07,9,1,9.04,clear sky
Manzanillo,CU,20.3433,-77.1167,73.71,80,40,2.08,scattered clouds
Arinos,BR,-15.9169,-46.1056,63.86,72,0,2.59,clear sky
Hualmay,PE,-11.0964,-77.6139,68.94,86,99,6.04,overcast clouds
Aklavik,CA,68.2191,-135.0107,-5.8,64,20,5.75,few clouds
Dalaba,GN,10.7,-12.25,63.03,88,28,2.84,scattered clouds
Touros,BR,-5.1989,-35.4608,75.2,94,20,4.61,few clouds
Harrismith,ZA,-28.2728,29.1295,62.08,43,2,0.6,clear sky
Batagay-Alyta,RU,67.8006,130.4114,8.49,59,0,6.87,clear sky
Chunhuhub,MX,19.55,-88.6833,75.25,92,20,4.45,few clouds
Plouzane,FR,48.3833,-4.6167,39.2,87,75,3.44,broken clouds
Aras,ES,42.5617,-2.356,51.8,93,90,5.28,light rain
Hays,US,30.0502,-98.0336,59.0,57,0,4.54,clear sky
Marovoay,MG,-16.1,46.6333,80.6,78,20,5.75,few clouds
Aktau,KZ,43.65,51.2,71.6,23,0,24.61,clear sky
Makakilo City,US,21.3469,-158.0858,73.4,53,40,8.05,scattered clouds
Atbasar,KZ,51.8,68.3333,35.82,91,5,9.98,clear sky
Haines Junction,CA,60.7522,-137.5108,-2.2,50,82,3.44,broken clouds
Balabac,PH,7.9868,117.0645,83.62,75,60,13.67,broken clouds
Matamoros,MX,25.5333,-103.25,77.0,14,8,1.01,clear sky
Bondo,CD,3.8146,23.6866,72.12,88,99,2.77,overcast clouds
Kimbe,PG,-5.5502,150.1429,81.23,82,100,4.74,light rain
Zorritos,PE,-3.6805,-80.6782,75.13,85,85,6.02,overcast clouds
Rajula,IN,21.05,71.4333,96.01,19,2,3.87,clear sky
Vardo,NO,70.3705,31.1107,28.49,85,28,24.02,scattered clouds
Lompoc,US,34.6391,-120.4579,50.0,81,38,6.91,scattered clouds
Praia Da Vitoria,PT,38.7333,-27.0667,60.8,100,75,12.71,mist
Vila Velha,BR,-20.3297,-40.2925,72.0,82,0,3.44,clear sky
Le Port,RE,-20.9373,55.2919,84.2,74,0,9.22,clear sky
Touho,NC,-20.7833,165.2333,80.37,78,59,4.85,broken clouds
San Joaquin,US,37.9333,-121.3011,57.99,54,1,12.66,clear sky
Vanimo,PG,-2.6741,141.3028,81.73,85,95,13.89,overcast clouds
Camargo,MX,27.6667,-105.1667,74.32,15,29,20.69,scattered clouds
Sobolevo,RU,54.4299,31.8996,45.55,65,14,9.86,few clouds
Nadvoitsy,RU,63.8667,34.3167,34.56,76,85,15.88,overcast clouds
Qeshm,IR,26.9581,56.2719,89.6,37,0,6.91,clear sky
Padang,ID,-0.9492,100.3543,87.8,70,20,5.75,few clouds
Pedro Ii,BR,-4.4247,-41.4586,66.74,87,58,3.33,light rain
Domoni,KM,-12.2569,44.5319,82.47,79,88,4.07,light rain
Sabang,ID,5.8933,95.3214,83.8,70,79,9.8,broken clouds
Nazareno,MX,25.3833,-103.4167,77.0,14,2,1.01,clear sky
Surgut,RU,61.25,73.4167,37.4,100,90,6.71,light rain
Georgetown,MY,5.4112,100.3354,91.4,66,20,6.91,few clouds
Pisco,PE,-13.7,-76.2167,69.8,73,0,6.91,clear sky
Port Hardy,CA,50.6996,-127.4199,41.0,86,20,6.91,few clouds
Shumikha,RU,55.2261,63.2961,42.19,83,100,13.91,overcast clouds
Beringovskiy,RU,63.05,179.3167,6.87,93,100,24.09,light snow
Kavaratti,IN,10.5669,72.642,83.68,63,85,1.7,overcast clouds
Wajima,JP,37.4,136.9,55.4,54,20,8.05,few clouds
Iqaluit,CA,63.7506,-68.5145,21.2,86,90,24.16,snow
Burnie,AU,-41.0667,145.9167,50.0,68,41,21.99,scattered clouds
Bandarbeyla,SO,9.4942,50.8122,82.63,60,8,8.21,clear sky
Carberry,CA,49.8689,-99.3602,44.6,39,40,11.5,scattered clouds
Riyadh,SA,24.6877,46.7219,86.0,9,0,12.66,clear sky
Muisne,EC,0.6,-80.0333,77.0,85,84,2.01,broken clouds
Palana,RU,59.1167,159.9667,16.59,76,100,13.85,overcast clouds
Kolpny,RU,52.2282,37.0368,45.55,51,23,5.86,few clouds
Kaitangata,NZ,-46.2817,169.8464,55.0,95,99,4.7,overcast clouds
San Patricio,US,28.017,-97.5169,69.01,88,1,5.75,clear sky
Luzhou,CN,28.8724,105.4405,64.33,67,100,2.84,overcast clouds
Dongzhen,CN,22.3797,110.9389,81.0,77,11,8.61,few clouds
Belaya Gora,RU,68.5333,146.4167,1.15,77,53,1.66,broken clouds
Puerto Leguizamo,CO,-0.1934,-74.7819,71.94,98,98,2.19,moderate rain
Guerrero Negro,MX,27.9769,-114.0611,59.68,85,100,13.18,overcast clouds
Sisimiut,GL,66.9395,-53.6735,25.92,79,99,9.89,overcast clouds
Mwinilunga,ZM,-11.7358,24.4293,61.9,84,99,7.09,overcast clouds
Celestun,MX,20.8667,-90.4,80.67,73,0,11.63,clear sky
Avera,US,33.194,-82.5271,59.0,97,1,4.61,clear sky
Rupert,US,42.6191,-113.6772,44.6,36,1,18.41,clear sky
Portoferraio,IT,42.8115,10.3146,55.99,82,90,23.02,fog
Olinda,BR,-8.0089,-34.8553,71.6,94,75,11.5,light rain
Osorno,CL,-40.5667,-73.15,55.4,78,90,10.36,overcast clouds
Nicoya,CR,10.1483,-85.452,73.4,100,0,3.44,clear sky
Atar,MR,20.5169,-13.0499,72.63,27,51,12.5,broken clouds
Batiano,PH,7.5534,126.4907,83.77,75,99,8.46,overcast clouds
Westport,US,41.1415,-73.3579,55.0,100,90,4.7,fog
Coihaique,CL,-45.5752,-72.0662,44.91,97,100,6.08,overcast clouds
Uribia,CO,11.7139,-72.266,79.65,71,100,13.56,overcast clouds
Lazarev,RU,52.225,141.5131,36.07,93,100,12.86,overcast clouds
Awjilah,LY,29.1081,21.2869,55.89,37,17,14.83,few clouds
Degollado,MX,20.467,-102.1498,64.45,26,12,4.74,few clouds
Singosari,ID,-7.8924,112.6658,87.8,70,20,6.91,few clouds
Faanui,PF,-16.4833,-151.75,82.69,72,56,11.27,broken clouds
Tolyatti,RU,53.5303,49.3461,60.8,48,40,15.66,light rain
Dvinskoy,RU,62.1535,45.1175,40.12,77,92,10.58,overcast clouds
Sungurlu,TR,40.1675,34.3739,33.3,93,100,4.56,light snow
Shahrud,IR,36.4182,54.9763,69.49,28,100,4.83,overcast clouds
Bambous Virieux,MU,-20.3428,57.7575,82.4,65,75,12.66,broken clouds
Fairbanks,US,64.8378,-147.7164,10.4,33,75,3.44,broken clouds
Iralaya,HN,15.0,-83.2333,79.66,83,97,10.76,overcast clouds
Ostrov,RU,57.3439,28.3537,30.2,100,90,4.47,snow
Pauini,BR,-7.7136,-66.9764,69.69,99,97,1.21,overcast clouds
Manaira,BR,-7.7061,-38.1544,67.15,90,97,2.39,overcast clouds
Ndago,TZ,-4.6,34.35,67.17,75,83,8.57,broken clouds
Buriti Dos Lopes,BR,-3.175,-41.8669,73.38,97,81,4.05,broken clouds
Dalby,AU,-27.1833,151.2667,78.01,25,6,3.0,clear sky
Dezhou,CN,37.4486,116.2925,67.44,39,100,9.4,light rain
Ugoofaaru,MV,5.6667,73.0,83.19,68,4,0.94,clear sky
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,42.8,56,15,11.18,few clouds
Omsukchan,RU,62.5333,155.8,-2.13,79,100,5.66,overcast clouds
George Town,MY,5.4112,100.3354,89.6,66,20,6.91,few clouds
Vrangel,RU,42.7297,133.0839,45.59,80,78,5.57,broken clouds
Ranau,MY,5.9538,116.6641,87.8,79,20,3.44,few clouds
Ryotsu,JP,38.0833,138.4333,53.6,50,20,11.5,few clouds
Fukue,JP,32.6881,128.8419,66.2,48,20,9.22,few clouds
Deputatskiy,RU,69.3,139.9,-3.12,83,7,3.83,clear sky
Daru,PG,-9.0763,143.2092,82.89,73,74,2.55,broken clouds
Tilichiki,RU,60.4667,166.1,12.97,74,100,20.74,overcast clouds
Suamico,US,44.6319,-88.0393,51.8,87,90,24.16,moderate rain
Tsukumi,JP,33.0706,131.8572,66.99,58,20,9.22,few clouds
Yerbogachen,RU,61.2767,108.0108,22.98,58,3,6.31,clear sky
Mumford,GH,5.2618,-0.759,79.63,88,25,11.01,scattered clouds
Quincy,US,42.2529,-71.0023,59.0,87,82,14.97,broken clouds
Krasnoselkup,RU,65.7,82.4667,32.52,100,21,9.64,few clouds
Port Hedland,AU,-20.3167,118.5667,95.0,49,66,9.22,broken clouds
Phulabani,IN,20.4667,84.2333,99.57,19,0,4.76,clear sky
Leningradskiy,RU,69.3833,178.4167,-9.35,98,96,3.22,overcast clouds
Nueva Loja,EC,0.0847,-76.8828,69.85,99,100,1.99,overcast clouds
Ewa Beach,US,21.3156,-158.0072,73.4,53,40,8.05,scattered clouds
Mbini,GQ,1.574,9.6134,77.0,100,40,4.47,light rain
Bukama,CD,-9.2,25.85,70.03,92,100,2.28,overcast clouds
Karratha,AU,-20.7377,116.8463,87.87,62,62,14.94,broken clouds
Shingu,JP,33.7333,135.9833,62.6,59,20,8.05,few clouds
Timbiqui,CO,2.7717,-77.6654,75.99,91,100,2.04,light rain
Ancud,CL,-41.8697,-73.8203,53.01,100,90,13.8,light rain
Kloulklubed,PW,7.0419,134.2556,80.6,89,75,3.44,broken clouds
Imatra,FI,61.1719,28.7524,36.0,87,40,10.36,scattered clouds
Alyangula,AU,-13.8483,136.4192,87.8,70,40,5.75,light rain
Saint Andrews,US,34.0454,-81.1293,62.6,94,20,4.61,few clouds
San Javier,ES,37.8063,-0.8374,59.0,100,90,2.3,overcast clouds
